hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0295,后面,hòumiàn,명사,3,뒤 · 뒤쪽,장소,他坐在我后面。,Tā zuò zài wǒ hòumiàn.,그는 내 뒤에 앉아 있다.
L3-0123,错误,cuòwù,명사·형용사,3,잘못 · 잘못된,평가,这是一个错误。,Zhè shì yí ge cuòwù.,이것은 잘못이다.
L3-0322,记录,jìlù,동사·명사,3,기록하다 · 기록,일,请记录一下会议内容。,Qǐng jìlù yíxià huìyì nèiróng.,회의 내용을 좀 기록해 주세요.
L3-0889,整,zhěng,형용사·동사,3,온전한 · 정각,시간,现在是三点整。,Xiànzài shì sān diǎn zhěng.,지금은 세 시 정각이다.
L3-0912,职业,zhíyè,명사,3,직업,일,你的职业是什么？,Nǐ de zhíyè shì shénme?,당신의 직업은 무엇인가요?
L3-0475,毛,máo,명사,3,털 · 마오 (돈 단위),사물,这件衣服是羊毛的。,Zhè jiàn yīfu shì yángmáo de.,이 옷은 양털로 만든 것이다.
L3-0385,精彩,jīngcǎi,형용사,3,훌륭하다 · 멋지다,평가,这场比赛很精彩。,Zhè chǎng bǐsài hěn jīngcǎi.,이 시합은 아주 훌륭했다.
L3-0909,值,zhí,동사,3,값이 나가다 · ~할 만하다,평가,这个包值多少钱？,Zhège bāo zhí duōshao qián?,이 가방은 얼마나 하나요?
L3-0184,范围,fànwéi,명사,3,범위,어법,这不在我的工作范围内。,Zhè bú zài wǒ de gōngzuò fànwéi nèi.,이것은 내 업무 범위 안에 없다.
L3-0660,事业,shìyè,명사,3,사업 · 일,일,他的事业很成功。,Tā de shìyè hěn chénggōng.,그의 사업은 아주 성공적이다.
L3-0723,痛苦,tòngkǔ,형용사,3,괴롭다 · 고통스럽다,감정,那段时间我很痛苦。,Nà duàn shíjiān wǒ hěn tòngkǔ.,그 시기에 나는 아주 괴로웠다.
L3-0689,速度,sùdù,명사,3,속도,사물,车的速度太快了。,Chē de sùdù tài kuài le.,차의 속도가 너무 빠르다.
L3-0760,文件,wénjiàn,명사,3,문서 · 파일,사물,请打开这个文件。,Qǐng dǎkāi zhège wénjiàn.,이 파일을 열어 주세요.
L3-0420,空,kōng,형용사·부사,3,비다 · 헛되이,평가,房间是空的。,Fángjiān shì kōng de.,방은 비어 있다.
L3-0778,显然,xiǎnrán,형용사,3,분명하다 · 뚜렷하다,평가,显然他不同意。,Xiǎnrán tā bù tóngyì.,분명히 그는 동의하지 않는다.
L3-0970,左右,zuǒyòu,명사·동사,3,좌우 · ~쯤,어법,他三十岁左右。,Tā sānshí suì zuǒyòu.,그는 서른 살쯤이다.
L3-0742,外面,wàimiàn,명사,3,바깥 · 밖,장소,外面在下雨。,Wàimiàn zài xià yǔ.,밖에 비가 오고 있다.
L3-0796,效果,xiàoguǒ,명사,3,효과,평가,这个方法效果很好。,Zhège fāngfǎ xiàoguǒ hěn hǎo.,이 방법은 효과가 아주 좋다.
L3-0951,状况,zhuàngkuàng,명사,3,상황 · 형편,사회,他的身体状况不错。,Tā de shēntǐ zhuàngkuàng búcuò.,그의 건강 상태는 괜찮다.
L3-0337,架,jià,양사·명사·동사,3,대 (기계를 세는 말) · 시렁,어법,天上有一架飞机。,Tiān shàng yǒu yí jià fēijī.,하늘에 비행기 한 대가 있다.
L3-0381,经济,jīngjì,명사·형용사,3,경제,사회,这里的经济发展很快。,Zhèlǐ de jīngjì fāzhǎn hěn kuài.,이곳의 경제는 아주 빨리 발전한다.
L3-0864,有效,yǒuxiào,동사,3,효과가 있다 · 유효하다,평가,这张票还有效吗？,Zhè zhāng piào hái yǒuxiào ma?,이 표는 아직 쓸 수 있나요?
L3-0180,反对,fǎnduì,동사,3,반대하다,생각,我反对这个意见。,Wǒ fǎnduì zhège yìjiàn.,나는 이 의견에 반대한다.
L3-0971,作品,zuòpǐn,명사,3,작품,활동,这是他的新作品。,Zhè shì tā de xīn zuòpǐn.,이것은 그의 새 작품이다.
L3-0666,室,shì,명사,3,방 · 실,장소,办公室在二楼。,Bàngōngshì zài èr lóu.,사무실은 2층에 있다.
L3-0642,时代,shídài,명사,3,시대,시간,我们生活在一个新时代。,Wǒmen shēnghuó zài yí ge xīn shídài.,우리는 새로운 시대에 살고 있다.
L3-0754,伟大,wěidà,형용사,3,위대하다,평가,他是一位伟大的老师。,Tā shì yí wèi wěidà de lǎoshī.,그는 위대한 선생님이다.
L3-0280,哈哈,hāhā,의성어,3,하하 (웃음소리),감정,哈哈 太有意思了。,Hāhā tài yǒu yìsi le.,하하 정말 재미있다.
L3-0954,准,zhǔn,형용사·부사,3,정확하다 · 틀림없이,평가,你的表准吗？,Nǐ de biǎo zhǔn ma?,네 시계는 정확하니?
L3-0678,输,shū,동사,3,지다 · 나르다,활동,我们队输了。,Wǒmen duì shū le.,우리 팀이 졌다.
L3-0534,皮,pí,명사,3,가죽 · 껍질,사물,这是真皮的包。,Zhè shì zhēn pí de bāo.,이것은 진짜 가죽 가방이다.
L3-0833,要是,yàoshi,접속사,3,만약 ~라면,어법,要是下雨我就不去。,Yàoshi xià yǔ wǒ jiù bú qù.,만약 비가 오면 나는 안 간다.
L3-0772,系,xì,명사,3,학과 · 계열,학교,他是中文系的学生。,Tā shì Zhōngwén xì de xuéshēng.,그는 중문과 학생이다.
L3-0880,增加,zēngjiā,동사,3,늘리다 · 늘다,사회,学生的人数增加了。,Xuéshēng de rénshù zēngjiā le.,학생 수가 늘었다.
L3-0906,直,zhí,형용사·부사·동사,3,곧다 · 곧장,동작,请一直往前走。,Qǐng yìzhí wǎng qián zǒu.,계속 앞으로 가세요.
L3-0511,年代,niándài,명사,3,연대 · 시기,시간,那是八十年代的事。,Nà shì bāshí niándài de shì.,그것은 80년대의 일이다.
L3-0457,领导,lǐngdǎo,동사·명사,3,이끌다 · 지도자,일,他领导着这个团队。,Tā lǐngdǎo zhe zhège tuánduì.,그가 이 팀을 이끌고 있다.
L3-0637,胜利,shènglì,동사·명사,3,승리하다 · 승리,활동,我们最后胜利了。,Wǒmen zuìhòu shènglì le.,우리는 마침내 이겼다.
L3-0676,受伤,shòushāng,동사,3,다치다,몸,他在比赛中受伤了。,Tā zài bǐsài zhōng shòushāng le.,그는 시합 중에 다쳤다.
L3-0131,代,dài,동사·명사,3,대신하다 · 세대,어법,我代他去开会。,Wǒ dài tā qù kāihuì.,내가 그를 대신해 회의에 간다.
L3-0774,下面,xiàmiàn,명사,3,아래 · 다음,장소,桌子下面有一只猫。,Zhuōzi xiàmiàn yǒu yì zhī māo.,책상 아래에 고양이 한 마리가 있다.
L3-0441,理论,lǐlùn,명사,3,이론,생각,这个理论很有名。,Zhège lǐlùn hěn yǒumíng.,이 이론은 아주 유명하다.
L3-0817,宣布,xuānbù,동사,3,발표하다 · 선포하다,사회,学校宣布明天放假。,Xuéxiào xuānbù míngtiān fàngjià.,학교가 내일 쉰다고 발표했다.
L3-0544,期,qī,양사,3,기 · 호 (횟수를 세는 말),어법,这是第三期。,Zhè shì dì sān qī.,이것은 제3호다.
L3-0255,姑娘,gūniang,명사,3,아가씨 · 처녀,관계,那个姑娘很漂亮。,Nàge gūniang hěn piàoliang.,그 아가씨는 아주 예쁘다.
L3-0115,创造,chuàngzào,동사·명사,3,만들어내다 · 창조하다,활동,他创造了新的记录。,Tā chuàngzào le xīn de jìlù.,그는 새 기록을 세웠다.
L3-0153,调,diào,동사,3,옮기다 · 이동시키다,일,他被调到北京了。,Tā bèi diào dào Běijīng le.,그는 베이징으로 발령받았다.
L3-0708,调,tiáo,동사,3,조절하다 · 맞추다,동작,请把空调调低一点。,Qǐng bǎ kōngtiáo tiáo dī yìdiǎn.,에어컨을 좀 낮춰 주세요.
L3-0839,艺术,yìshù,명사,3,예술,활동,我对艺术很感兴趣。,Wǒ duì yìshù hěn gǎn xìngqù.,나는 예술에 아주 관심이 있다.
L3-0471,麻烦,máfan,형용사·동사,3,번거롭다 · 귀찮게 하다,평가,麻烦你帮我一下。,Máfan nǐ bāng wǒ yíxià.,번거롭겠지만 좀 도와주세요.
L3-0656,事故,shìgù,명사,3,사고,사회,路上发生了事故。,Lù shàng fāshēng le shìgù.,길에서 사고가 났다.
L3-0481,美好,měihǎo,형용사,3,아름답다 · 좋다,평가,祝你有一个美好的一天。,Zhù nǐ yǒu yí ge měihǎo de yì tiān.,좋은 하루 보내세요.
L3-0944,抓住,zhuāzhù,동사,3,붙잡다,동작,抓住这个机会。,Zhuāzhù zhège jīhuì.,이 기회를 잡으세요.
L3-0767,武器,wǔqì,명사,3,무기,사물,这里禁止带武器。,Zhèlǐ jìnzhǐ dài wǔqì.,이곳은 무기를 가지고 들어갈 수 없다.
L3-0235,各种,gèzhǒng,대사,3,여러 가지 · 각종,어법,店里有各种水果。,Diàn lǐ yǒu gèzhǒng shuǐguǒ.,가게에 여러 가지 과일이 있다.
L3-0687,思想,sīxiǎng,명사,3,생각 · 사상,생각,他的思想很新。,Tā de sīxiǎng hěn xīn.,그의 생각은 아주 새롭다.
L3-0541,破坏,pòhuài,동사,3,파괴하다 · 망치다,사회,我们不能破坏环境。,Wǒmen bù néng pòhuài huánjìng.,우리는 환경을 파괴하면 안 된다.
L3-0794,消失,xiāoshī,동사,3,사라지다,동작,他的身影消失了。,Tā de shēnyǐng xiāoshī le.,그의 모습이 사라졌다.
L3-0282,害怕,hàipà,동사,3,무서워하다,감정,孩子害怕打针。,Háizi hàipà dǎzhēn.,아이는 주사 맞는 것을 무서워한다.
L3-0462,龙,lóng,명사,3,용,자연,中国人喜欢龙。,Zhōngguó rén xǐhuan lóng.,중국 사람은 용을 좋아한다.
L3-0473,满足,mǎnzú,동사,3,만족하다 · 만족시키다,감정,他对现在很满足。,Tā duì xiànzài hěn mǎnzú.,그는 지금에 아주 만족한다.
L3-0530,配,pèi,동사,3,맞추다 · 어울리다,사물,这条裤子配这件衣服很好。,Zhè tiáo kùzi pèi zhè jiàn yīfu hěn hǎo.,이 바지는 이 옷과 아주 잘 어울린다.
L3-0146,等待,děngdài,동사,3,기다리다,시간,我们在等待结果。,Wǒmen zài děngdài jiéguǒ.,우리는 결과를 기다리고 있다.
L3-0829,演出,yǎnchū,동사·명사,3,공연하다 · 공연,활동,今晚有一场演出。,Jīnwǎn yǒu yì chǎng yǎnchū.,오늘 밤에 공연이 하나 있다.
L3-0433,乐,lè,동사,3,즐거워하다,감정,他乐得笑了起来。,Tā lè de xiào le qǐlái.,그는 즐거워서 웃음을 터뜨렸다.
L3-0659,事实上,shìshíshang,부사,3,사실상 · 사실은,어법,事实上他已经走了。,Shìshíshang tā yǐjīng zǒu le.,사실 그는 이미 떠났다.
L3-0935,猪,zhū,명사,3,돼지,자연,农场里有很多猪。,Nóngchǎng lǐ yǒu hěn duō zhū.,농장에 돼지가 아주 많다.
L3-0619,设备,shèbèi,명사,3,설비 · 장비,사물,这里的设备很新。,Zhèlǐ de shèbèi hěn xīn.,이곳의 설비는 아주 새것이다.
L3-0731,团,tuán,명사·양사,3,단체 · 덩어리,사회,他参加了旅行团。,Tā cānjiā le lǚxíng tuán.,그는 여행단에 참가했다.
L3-0652,世纪,shìjì,명사,3,세기,시간,现在是二十一世纪。,Xiànzài shì èrshíyī shìjì.,지금은 21세기다.
L3-0925,制造,zhìzào,동사,3,만들다 · 제조하다,일,这台机器是中国制造的。,Zhè tái jīqì shì Zhōngguó zhìzào de.,이 기계는 중국에서 만든 것이다.
L3-0373,紧,jǐn,형용사,3,꽉 끼다 · 팽팽하다,평가,这双鞋有点儿紧。,Zhè shuāng xié yǒudiǎnr jǐn.,이 신발은 좀 꽉 낀다.
L3-0168,对手,duìshǒu,명사,3,상대 · 적수,활동,他是个很强的对手。,Tā shì ge hěn qiáng de duìshǒu.,그는 아주 강한 상대다.
L3-0898,证,zhèng,명사,3,증명서,사물,请出示你的学生证。,Qǐng chūshì nǐ de xuéshēng zhèng.,학생증을 보여 주세요.
L3-0138,当地,dāngdì,명사,3,현지 · 그 지역,장소,我们尝了当地的菜。,Wǒmen cháng le dāngdì de cài.,우리는 현지 음식을 맛보았다.
L3-0127,大概,dàgài,부사·형용사,3,아마 · 대략,어법,他大概三点到。,Tā dàgài sān diǎn dào.,그는 아마 세 시에 도착할 것이다.
