hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0137,当初,dāngchū,명사,3,당초 · 처음에,시간,当初我不该那样做。,Dāngchū wǒ bù gāi nàyàng zuò.,당초에 나는 그렇게 하지 말았어야 했다.
L3-0196,分别,fēnbié,동사·부사,3,헤어지다 · 각각,관계,我们分别了十年。,Wǒmen fēnbié le shí nián.,우리는 십 년 동안 헤어져 있었다.
L3-0871,愿望,yuànwàng,명사,3,바람 · 소망,생각,他实现了自己的愿望。,Tā shíxiàn le zìjǐ de yuànwàng.,그는 자신의 소망을 이루었다.
L3-0684,数量,shùliàng,명사,3,수량,사물,数量比质量更重要吗？,Shùliàng bǐ zhìliàng gèng zhòngyào ma?,수량이 품질보다 더 중요합니까?
L3-0786,相比,xiāngbǐ,동사,3,비교하다 · ~에 비하다,평가,和去年相比，今年好多了。,Hé qùnián xiāngbǐ jīnnián hǎo duō le.,작년과 비교하면 올해는 훨씬 낫다.
L3-0626,深入,shēnrù,동사·형용사,3,깊이 파고들다 · 깊다,생각,我们要深入研究这个问题。,Wǒmen yào shēnrù yánjiū zhège wèntí.,우리는 이 문제를 깊이 연구해야 한다.
L3-0640,石油,shíyóu,명사,3,석유,자연,这个国家石油很多。,Zhège guójiā shíyóu hěn duō.,이 나라는 석유가 아주 많다.
L3-0565,情感,qínggǎn,명사,3,감정 · 정서,감정,他的歌里有很深的情感。,Tā de gē lǐ yǒu hěn shēn de qínggǎn.,그의 노래에는 아주 깊은 감정이 있다.
L3-0592,人群,rénqún,명사,3,인파 · 사람들의 무리,장소,他消失在人群里。,Tā xiāoshī zài rénqún lǐ.,그는 인파 속으로 사라졌다.
L3-0321,计算,jìsuàn,동사,3,계산하다,동작,请你计算一下总数。,Qǐng nǐ jìsuàn yíxià zǒngshù.,총수를 계산해 주세요.
L3-0406,开发,kāifā,동사,3,개발하다,일,他们在开发新产品。,Tāmen zài kāifā xīn chǎnpǐn.,그들은 새 제품을 개발하고 있다.
L3-0651,始终,shǐzhōng,부사,3,시종일관 · 처음부터 끝까지,어법,他始终没有说话。,Tā shǐzhōng méiyǒu shuōhuà.,그는 처음부터 끝까지 말하지 않았다.
L3-0887,争,zhēng,동사,3,다투다 · 겨루다,동작,他们在争第一名。,Tāmen zài zhēng dì yī míng.,그들은 일등을 다투고 있다.
L3-0155,订,dìng,동사,3,예약하다 · 정하다,일,我订了两张票。,Wǒ dìng le liǎng zhāng piào.,나는 표 두 장을 예약했다.
L3-0755,卫生,wèishēng,명사·형용사,3,위생 · 깨끗하다,생활,这里的卫生很好。,Zhèlǐ de wèishēng hěn hǎo.,이곳은 위생이 아주 좋다.
L3-0211,富,fù,형용사,3,부유하다 · 풍부하다,평가,他家很富。,Tā jiā hěn fù.,그의 집은 아주 부유하다.
L3-0330,加强,jiāqiáng,동사,3,강화하다,일,我们要加强合作。,Wǒmen yào jiāqiáng hézuò.,우리는 협력을 강화해야 한다.
L3-0229,歌手,gēshǒu,명사,3,가수,사회,她是我最喜欢的歌手。,Tā shì wǒ zuì xǐhuan de gēshǒu.,그는 내가 가장 좋아하는 가수다.
L3-0648,实验室,shíyànshì,명사,3,실험실,학교,他每天在实验室工作。,Tā měitiān zài shíyànshì gōngzuò.,그는 매일 실험실에서 일한다.
L3-0407,开放,kāifàng,동사,3,개방하다 · 열려 있다,사회,公园全天开放。,Gōngyuán quántiān kāifàng.,공원은 온종일 개방한다.
L3-0233,各地,gèdì,명사,3,각지 · 여러 지방,장소,全国各地都下雪了。,Quánguó gèdì dōu xiàxuě le.,전국 각지에 눈이 내렸다.
L3-0812,性格,xìnggé,명사,3,성격,평가,他的性格很开朗。,Tā de xìnggé hěn kāilǎng.,그의 성격은 아주 밝다.
L3-0732,团结,tuánjié,동사·형용사,3,단결하다 · 화목하다,관계,我们班很团结。,Wǒmen bān hěn tuánjié.,우리 반은 아주 단결이 잘 된다.
L3-0882,展开,zhǎnkāi,동사,3,펼치다 · 전개하다,동작,他展开了那张地图。,Tā zhǎnkāi le nà zhāng dìtú.,그는 그 지도를 펼쳤다.
L3-0419,课程,kèchéng,명사,3,교과 과정 · 강좌,학교,这学期的课程很难。,Zhè xuéqī de kèchéng hěn nán.,이번 학기 강좌는 아주 어렵다.
L3-0411,看起来,kàn qǐlái,동사,3,보아하니 · ~해 보이다,평가,看起来今天要下雨。,Kàn qǐlái jīntiān yào xiàyǔ.,보아하니 오늘 비가 올 것 같다.
L3-0174,发动,fādòng,동사,3,시동을 걸다 · 일으키다,동작,他发动了汽车。,Tā fādòng le qìchē.,그는 자동차에 시동을 걸었다.
L3-0276,果然,guǒrán,부사,3,과연 · 아니나 다를까,어법,果然和我想的一样。,Guǒrán hé wǒ xiǎng de yíyàng.,과연 내가 생각한 것과 같다.
L3-0192,放到,fàngdào,동사,3,~에 놓다,동작,请把书放到桌子上。,Qǐng bǎ shū fàngdào zhuōzi shàng.,책을 탁자 위에 놓아 주세요.
L3-0390,静,jìng,형용사,3,조용하다 · 고요하다,평가,夜里很静。,Yèlǐ hěn jìng.,밤은 아주 고요하다.
L3-0815,需求,xūqiú,명사,3,수요 · 요구,사회,市场需求越来越大。,Shìchǎng xūqiú yuè lái yuè dà.,시장 수요가 갈수록 커진다.
L3-0913,只好,zhǐhǎo,부사,3,어쩔 수 없이 · ~할 수밖에 없다,어법,没有车，我只好走路。,Méiyǒu chē wǒ zhǐhǎo zǒulù.,차가 없어서 나는 걸을 수밖에 없었다.
L3-0274,国内,guó nèi,명사,3,국내,사회,这个牌子在国内很有名。,Zhège páizi zài guónèi hěn yǒumíng.,이 상표는 국내에서 아주 유명하다.
L3-0695,谈话,tánhuà,동사·명사,3,이야기하다 · 대화,관계,老师和他谈话了。,Lǎoshī hé tā tánhuà le.,선생님이 그와 이야기를 나누었다.
L3-0112,传说,chuánshuō,명사·동사,3,전설 · 전해 오는 말,사회,这是一个古老的传说。,Zhè shì yí ge gǔlǎo de chuánshuō.,이것은 아주 오래된 전설이다.
L3-0950,转变,zhuǎnbiàn,동사,3,바뀌다 · 전환하다,평가,他的想法转变了。,Tā de xiǎngfǎ zhuǎnbiàn le.,그의 생각이 바뀌었다.
L3-0508,能不能,néng bu néng,동사,3,~할 수 있나요,어법,你能不能帮我一下？,Nǐ néng bu néng bāng wǒ yíxià?,저를 좀 도와주실 수 있나요?
L3-0919,至今,zhìjīn,부사,3,지금까지 · 여태껏,시간,他至今没有回来。,Tā zhìjīn méiyǒu huílái.,그는 지금까지 돌아오지 않았다.
L3-0294,后果,hòuguǒ,명사,3,(나쁜) 결과 · 뒷일,평가,这样做后果很严重。,Zhèyàng zuò hòuguǒ hěn yánzhòng.,이렇게 하면 결과가 아주 심각하다.
L3-0125,打破,dǎpò,동사,3,깨뜨리다 · 깨다,동작,他打破了一个杯子。,Tā dǎpò le yí ge bēizi.,그는 컵 하나를 깨뜨렸다.
L3-0614,上来,shànglái,동사,3,올라오다,동작,你快上来吧。,Nǐ kuài shànglái ba.,어서 올라오세요.
L3-0639,石头,shítou,명사,3,돌,자연,路上有一块大石头。,Lùshang yǒu yí kuài dà shítou.,길에 큰 돌이 하나 있다.
L3-0936,主持,zhǔchí,동사,3,주관하다 · 사회를 보다,일,今天的会议由他主持。,Jīntiān de huìyì yóu tā zhǔchí.,오늘 회의는 그가 주관한다.
L3-0191,访问,fǎngwèn,동사,3,방문하다,활동,他去年访问了中国。,Tā qùnián fǎngwèn le Zhōngguó.,그는 작년에 중국을 방문했다.
L3-0776,先进,xiānjìn,형용사,3,선진적이다 · 앞서 있다,평가,这是很先进的技术。,Zhè shì hěn xiānjìn de jìshù.,이것은 아주 앞선 기술이다.
L3-0761,文明,wénmíng,명사·형용사,3,문명 · 교양 있다,사회,请大家文明说话。,Qǐng dàjiā wénmíng shuōhuà.,모두 교양 있게 말해 주세요.
L3-0770,西部,xībù,명사,3,서부,장소,他住在中国西部。,Tā zhù zài Zhōngguó xībù.,그는 중국 서부에 산다.
L3-0747,玩具,wánjù,명사,3,장난감,사물,孩子最喜欢这个玩具。,Háizi zuì xǐhuan zhège wánjù.,아이는 이 장난감을 가장 좋아한다.
L3-0187,防止,fángzhǐ,동사,3,방지하다 · 막다,일,要防止这样的事再发生。,Yào fángzhǐ zhèyàng de shì zài fāshēng.,이런 일이 다시 일어나지 않게 막아야 한다.
L3-0513,年纪,niánjì,명사,3,나이 · 연세,생활,您今年多大年纪了？,Nín jīnnián duō dà niánjì le?,올해 연세가 어떻게 되십니까?
L3-0672,手指,shǒuzhǐ,명사,3,손가락,몸,我的手指受伤了。,Wǒ de shǒuzhǐ shòushāng le.,내 손가락을 다쳤다.
L3-0706,天空,tiānkōng,명사,3,하늘,자연,天空非常蓝。,Tiānkōng fēicháng lán.,하늘이 매우 파랗다.
L3-0924,制度,zhìdù,명사,3,제도,사회,公司的制度很严格。,Gōngsī de zhìdù hěn yángé.,회사의 제도는 아주 엄격하다.
L3-0243,工业,gōngyè,명사,3,공업 · 산업,사회,这个城市工业很发达。,Zhège chéngshì gōngyè hěn fādá.,이 도시는 공업이 아주 발달했다.
L3-0270,广播,guǎngbō,동사·명사,3,방송하다 · 방송,사회,我每天听广播。,Wǒ měitiān tīng guǎngbō.,나는 매일 방송을 듣는다.
L3-0119,从事,cóngshì,동사,3,종사하다,일,他从事教育工作。,Tā cóngshì jiàoyù gōngzuò.,그는 교육 일에 종사한다.
L3-0213,改造,gǎizào,동사,3,개조하다 · 뜯어고치다,일,他们改造了这座老房子。,Tāmen gǎizào le zhè zuò lǎo fángzi.,그들은 이 낡은 집을 개조했다.
L3-0923,制定,zhìdìng,동사,3,제정하다 · 세우다,일,我们制定了新计划。,Wǒmen zhìdìng le xīn jìhuà.,우리는 새 계획을 세웠다.
L3-0907,直播,zhíbō,동사,3,생중계하다 · 라이브 방송하다,활동,比赛正在直播。,Bǐsài zhèngzài zhíbō.,경기가 생중계되고 있다.
L3-0846,应当,yīngdāng,동사,3,마땅히 ~해야 한다,어법,我们应当帮助他。,Wǒmen yīngdāng bāngzhù tā.,우리는 마땅히 그를 도와야 한다.
L3-0353,交往,jiāowǎng,동사,3,교제하다 · 사귀다,관계,他们交往了三年。,Tāmen jiāowǎng le sān nián.,그들은 삼 년 동안 사귀었다.
L3-0236,各自,gèzì,대사,3,각자,어법,大家各自回家了。,Dàjiā gèzì huíjiā le.,모두 각자 집으로 돌아갔다.
L3-0740,退休,tuìxiū,동사,3,퇴직하다 · 은퇴하다,일,我父亲去年退休了。,Wǒ fùqīn qùnián tuìxiū le.,우리 아버지는 작년에 퇴직하셨다.
L3-0214,概念,gàiniàn,명사,3,개념,생각,这个概念不太好懂。,Zhège gàiniàn bú tài hǎo dǒng.,이 개념은 그다지 이해하기 쉽지 않다.
L3-0116,创作,chuàngzuò,동사·명사,3,창작하다 · 창작,활동,他创作了很多歌。,Tā chuàngzuò le hěn duō gē.,그는 많은 노래를 창작했다.
L3-0400,据说,jùshuō,동사,3,듣자 하니 · ~라고 한다,어법,据说他要出国了。,Jùshuō tā yào chūguó le.,듣자 하니 그가 외국에 간다고 한다.
L3-0962,自身,zìshēn,명사,3,자신 · 자기 자신,생각,先解决自身的问题。,Xiān jiějué zìshēn de wèntí.,먼저 자기 자신의 문제를 해결해라.
L3-0894,整天,zhěngtiān,명사,3,온종일 · 하루 종일,시간,他整天在家看书。,Tā zhěngtiān zài jiā kànshū.,그는 온종일 집에서 책을 본다.
L3-0573,去世,qùshì,동사,3,세상을 떠나다,관계,他的爷爷去年去世了。,Tā de yéye qùnián qùshì le.,그의 할아버지는 작년에 세상을 떠나셨다.
L3-0532,批评,pīpíng,동사,3,비판하다 · 꾸짖다,평가,老师批评了他。,Lǎoshī pīpíng le tā.,선생님이 그를 꾸짖었다.
L3-0881,增长,zēngzhǎng,동사,3,늘어나다 · 증가하다,평가,人口在慢慢增长。,Rénkǒu zài mànmàn zēngzhǎng.,인구가 천천히 늘어나고 있다.
L3-0202,否认,fǒurèn,동사,3,부인하다,생각,他否认了这件事。,Tā fǒurèn le zhè jiàn shì.,그는 이 일을 부인했다.
L3-0939,主意,zhǔyi,명사,3,생각 · 아이디어,생각,这是个好主意。,Zhè shì ge hǎo zhǔyi.,이것은 좋은 생각이다.
L3-0703,体会,tǐhuì,동사·명사,3,몸소 느끼다 · 느낀 점,감정,我很体会他的心情。,Wǒ hěn tǐhuì tā de xīnqíng.,나는 그의 마음을 잘 안다.
L3-0220,感冒,gǎnmào,동사·명사,3,감기에 걸리다 · 감기,몸,我昨天感冒了。,Wǒ zuótiān gǎnmào le.,나는 어제 감기에 걸렸다.
L3-0224,高速,gāosù,형용사,3,고속의 · 빠르다,평가,火车高速行驶。,Huǒchē gāosù xíngshǐ.,기차가 고속으로 달린다.
L3-0263,观看,guānkàn,동사,3,관람하다 · 보다,활동,我们去观看比赛吧。,Wǒmen qù guānkàn bǐsài ba.,우리 경기를 보러 가자.
L3-0736,推进,tuījìn,동사,3,추진하다 · 밀고 나가다,일,这个计划正在推进。,Zhège jìhuà zhèngzài tuījìn.,이 계획은 추진되고 있다.
L3-0304,欢乐,huānlè,형용사,3,즐겁다 · 기쁘다,감정,大家过得很欢乐。,Dàjiā guò de hěn huānlè.,모두 아주 즐겁게 지냈다.
L3-0250,功夫,gōngfu,명사,3,쿵후 · 솜씨 · 시간과 노력,활동,他的功夫很厉害。,Tā de gōngfu hěn lìhai.,그의 쿵후는 아주 대단하다.
L3-0733,团体,tuántǐ,명사,3,단체,사회,我们参加了团体比赛。,Wǒmen cānjiā le tuántǐ bǐsài.,우리는 단체 경기에 참가했다.
L3-0189,房屋,fángwū,명사,3,집 · 건물,장소,这里的房屋都很旧。,Zhèlǐ de fángwū dōu hěn jiù.,이곳의 집들은 다 아주 낡았다.
L3-0145,得分,défēn,동사·명사,3,득점하다 · 득점,활동,他这场比赛得分很高。,Tā zhè chǎng bǐsài défēn hěn gāo.,그는 이번 경기에서 득점이 아주 높다.
L3-0324,纪录,jìlù,명사,3,기록,평가,他打破了世界纪录。,Tā dǎpò le shìjiè jìlù.,그는 세계 기록을 깼다.
L3-0861,游泳,yóuyǒng,동사·명사,3,수영하다 · 수영,활동,我每周去游泳两次。,Wǒ měi zhōu qù yóuyǒng liǎng cì.,나는 매주 두 번 수영하러 간다.
L3-0315,基本上,jīběnshàng,부사,3,기본적으로 · 대체로,어법,工作基本上完成了。,Gōngzuò jīběnshàng wánchéng le.,일은 대체로 끝났다.
