hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko,meaning_en,frequency
L3-0209,复印,fùyìn,V,3,,,,,,to photocopy; to duplicate a document,14608
L3-0210,复杂,fùzá,Adj,3,,,,,,complicated; complex,1657
L3-0211,富,fù,Adj,3,,,,,,surname Fu,3016
L3-0212,改进,gǎijìn,V,3,,,,,,to improve; to make better; improvement,4265
L3-0213,改造,gǎizào,V,3,,,,,,to transform; to reform; to remodel; to remold,3348
L3-0214,概念,gàiniàn,N,3,,,,,,concept; idea,3465
L3-0215,赶,gǎn,V,3,,,,,,to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away,2113
L3-0216,赶到,gǎndào,,3,,,,,,to hurry (to some place),2860
L3-0217,赶紧,gǎnjǐn,Adv,3,,,,,,hurriedly; without delay,1994
L3-0218,赶快,gǎnkuài,Adv,3,,,,,,quickly; at once,2729
L3-0219,敢,gǎn,V,3,,,,,,to dare; daring; (polite) may I venture,902
L3-0220,感冒,gǎnmào,N/V,3,,,,,,to catch cold; (common) cold; (coll.) to be interested in (often used in the negative); (Tw) to detest,3621
L3-0221,感情,gǎnqíng,N,3,,,,,,emotion; sentiment; affection; feelings between two persons,1257
L3-0222,感受,gǎnshòu,N/V,3,,,,,,to sense; perception; to feel (through the senses); to experience,1286
L3-0223,干吗,gànmá,Pron,3,,,,,,see 干嘛,5989
L3-0224,高速,gāosù,Adj,3,,,,,,high speed; expressway (abbr. for 路),3638
L3-0225,高速公路,gāosù gōnglù,,3,,,,,,expressway; highway; freeway,5363
L3-0226,告别,gàobié,,3,,,,,,to leave; to part from; to bid farewell to; to say goodbye to,4591
L3-0227,歌迷,gēmí,N,3,,,,,,fan of a singer,6912
L3-0228,歌声,gēshēng,N,3,,,,,,singing voice; fig. original voice of a poet,6372
L3-0229,歌手,gēshǒu,N,3,,,,,,singer,3028
L3-0230,个人,gèrén,N,3,,,,,,individual; personal; oneself,636
L3-0231,个性,gèxìng,N,3,,,,,,individuality; personality,2614
L3-0232,各,gè,Pron/Adv,3,,,,,,each; every,1022
L3-0233,各地,gèdì,N,3,,,,,,in all parts of (a country); various regions,3044
L3-0234,各位,gèwèi,Pron,3,,,,,,"everybody; all (guests, colleagues etc); all of you",786
L3-0235,各种,gèzhǒng,Pron,3,,,,,,every kind of; all kinds of; various,1510
L3-0236,各自,gèzì,Pron,3,,,,,,each; respective; apiece,3398
L3-0237,根本,gēnběn,Adv/Adj/N,3,,,,,,fundamental; basic; root; simply,591
L3-0238,更加,gèngjiā,Adv,3,,,,,,more (than sth else); even more,1185
L3-0239,工厂,gōngchǎng,N,3,,,,,,factory,2656
L3-0240,工程师,gōngchéngshī,N,3,,,,,,engineer,5605
L3-0241,工夫,gōngfu,N,3,,,,,,"period of time (may be months, or mere seconds); spare time; skill; labor",10723
L3-0242,工具,gōngjù,N,3,,,,,,tool; instrument; utensil; means (to achieve a goal etc),2299
L3-0243,工业,gōngyè,N,3,,,,,,industry,3316
L3-0244,工资,gōngzī,N,3,,,,,,wages; pay,2532
L3-0245,公布,gōngbù,V,3,,,,,,to announce; to make public; to publish,2655
L3-0246,公共,gōnggòng,Adj,3,,,,,,public; common; communal,2356
L3-0247,公开,gōngkāi,Adj/V,3,,,,,,open; overt; public; to make public; to release,1840
L3-0248,公民,gōngmín,N,3,,,,,,citizen,2877
L3-0249,公务员,gōngwùyuán,N,3,,,,,,functionary; office-bearer,8047
L3-0250,功夫,gōngfu,N,3,,,,,,skill; art; kung fu; labor,3675
L3-0251,功课,gōngkè,N,3,,,,,,homework; assignment; task; classwork,9040
L3-0252,功能,gōngnéng,N,3,,,,,,function; capability,2138
L3-0253,共同,gòngtóng,Adj,3,,,,,,common; joint; jointly; together,1623
L3-0254,共有,gòngyǒu,V,3,,,,,,to have altogether; in all,5958
L3-0255,姑娘,gūniang,N,3,,,,,,girl; young woman; young lady; daughter,1474
L3-0256,古,gǔ,Adj,3,,,,,,surname Gu,2558
L3-0257,古代,gǔdài,N,3,,,,,,ancient times,6123
L3-0258,故乡,gùxiāng,N,3,,,,,,home; homeland; native place,9198
L3-0259,挂,guà,V,3,,,,,,to hang or suspend (from a hook etc); to hang up (the phone); (of a line) to be dead; to be worried or concerned,1092
L3-0260,关系,guānxì,N/V,3,,,,,,relation; relationship; to concern; to affect,318
L3-0261,关注,guānzhù,V,3,,,,,,to pay attention to; to follow sth closely; to follow (on social media); concern,1125
L3-0262,观察,guānchá,V,3,,,,,,to observe; to watch; to survey,1708
L3-0263,观看,guānkàn,V,3,,,,,,to watch; to view,3644
L3-0264,观念,guānniàn,N,3,,,,,,notion; thought; concept; sense,4558
L3-0265,观众,guānzhòng,N,3,,,,,,spectators; audience; visitors (to an exhibition etc),1260
L3-0266,管,guǎn,V,3,,,,,,variant of 管,545
L3-0267,管理,guǎnlǐ,V,3,,,,,,to supervise; to manage; to administer; management,1202
L3-0268,光,guāng,Adv/N/Adj,3,,,,,,light; ray; bright; shiny; only; merely; used up; finished,800
L3-0269,光明,guāngmíng,Adj/N,3,,,,,,light; radiance; (fig.) bright (prospects etc); openhearted,5030
L3-0270,广播,guǎngbō,V/N,3,,,,,,broadcast; broadcasting; to broadcast; (formal) to propagate,3320
L3-0271,广大,guǎngdà,Adj,3,,,,,,(of an area) vast or extensive; large-scale; widespread; (of people) numerous,9553
L3-0272,规定,guīdìng,V/N,3,,,,,,to stipulate; to specify; to prescribe; to fix (a price); to set (a quota); regulations; rules; provisions; stipulations,1151
L3-0273,规范,guīfàn,Adj/N/V,3,,,,,,norm; standard; specification; regulation,6609
L3-0274,国内,guó nèi,,3,,,,,,domestic; internal (to a country); civil,3134
L3-0275,国庆,guóqìng,N,3,,,,,,National Day,13274
L3-0276,果然,guǒrán,Adv,3,,,,,,really; sure enough; as expected; if indeed,3104
L3-0277,果汁,guǒzhī,N,3,,,,,,fruit juice,7765
L3-0278,过程,guòchéng,N,3,,,,,,course of events; process,1002
L3-0279,过去,guòqù,N,3,,,,,,(in the) past; former; previous; to go over,353
L3-0280,哈哈,hāhā,Phonetic,3,,,,,,(onom.) laughing out loud,1389
L3-0281,海关,hǎiguān,N,3,,,,,,customs (i.e. border crossing inspection),7955
L3-0282,害怕,hàipà,,3,,,,,,to be afraid; to be scared,1536
L3-0283,行,háng,M,3,,,,,,row; line; commercial firm; line of business,272
L3-0284,好好,hǎohǎo,Adj/Adv,3,,,,,,well; carefully; nicely; properly,752
L3-0285,好奇,hàoqí,Adj,3,,,,,,inquisitive; curious; inquisitiveness; curiosity,3798
L3-0286,合,hé,V,3,,,,,,to close; to join; to fit; to be equal to,1643
L3-0287,合法,héfǎ,Adj,3,,,,,,lawful; legitimate; legal,2570
L3-0288,合格,hégé,Adj,3,,,,,,to meet the standard required; qualified; eligible (voter etc),5048
L3-0289,合理,hélǐ,Adj,3,,,,,,rational; reasonable; sensible; fair,1935
L3-0290,合作,hézuò,V,3,,,,,,to cooperate; to collaborate; to work together; cooperation,668
L3-0291,和平,hépíng,N,3,,,,,,"Heping District of Shenyang city 沈阳市, Liaoning; Heping or Hoping Township in Taichung County 台中县, Taiwan",1750
L3-0292,红茶,hóngchá,N,3,,,,,,black tea,21109
L3-0293,红酒,hóngjiǔ,N,3,,,,,,red wine,1000000
L3-0294,后果,hòuguǒ,N,3,,,,,,consequences; aftermath,3157
L3-0295,后面,hòumiàn,N,3,,,,,,the back; the rear; the last bit; behind; near the end; at the back; later; afterwards,1300
L3-0296,后年,hòunián,N,3,,,,,,the year after next,45713
L3-0297,互联网,hùliánwǎng,N,3,,,,,,Internet,4872
L3-0298,互相,hùxiāng,Adv,3,,,,,,each other; mutually; mutual,2091
L3-0299,划船,huáchuán,V,3,,,,,,to row a boat; rowing boat; rowing (sport),21694
L3-0300,华人,huárén,N,3,,,,,,ethnic Chinese person or people,14189
L3-0301,化（现代化）,huà (xiàndàihuà),Suffix,3,,,,,,,
L3-0302,话剧,huàjù,N,3,,,,,,stage play; modern drama,11486
L3-0303,话题,huàtí,N,3,,,,,,subject (of a talk or conversation); topic,2557
L3-0304,欢乐,huānlè,Adj,3,,,,,,gaiety; gladness; glee; merriment,3660
L3-0305,环,huán,N,3,,,,,,surname Huan,2712
L3-0306,环保,huánbǎo,N/Adj,3,,,,,,environmental protection; environmentally friendly; abbr. for 环境保护,4327
L3-0307,环境,huánjìng,N,3,,,,,,environment; circumstances; surroundings; ambient,1171
L3-0308,会议,huìyì,N,3,,,,,,meeting; conference,928
L3-0309,会员,huìyuán,N,3,,,,,,member,4022
L3-0310,活,huó,Adj/V,3,,,,,,to live; alive; living; work,556
L3-0311,火,huǒ,N,3,,,,,,surname Huo,1181
L3-0312,机器,jīqì,N,3,,,,,,machine,2625
L3-0313,积极,jījí,Adj,3,,,,,,active; energetic; vigorous; positive (outlook),2212
L3-0314,基本,jīběn,Adj,3,,,,,,basic; fundamental; main; elementary,1095
L3-0315,基本上,jīběnshàng,Adv,3,,,,,,basically; on the whole,3705
L3-0316,基础,jīchǔ,N,3,,,,,,base; foundation; basis; basic; fundamental,2135
L3-0317,及时,jíshí,Adj,3,,,,,,timely; at the right time; promptly; without delay,2280
L3-0318,…极了,…jí le,,3,,,,,,,
L3-0319,集体,jítǐ,N,3,,,,,,collective (decision); joint (effort); a group; a team,3804
L3-0320,集中,jízhōng,V/Adj,3,,,,,,to concentrate; to centralize; to focus; centralized,1271
L3-0321,计算,jìsuàn,V,3,,,,,,to count; to calculate; to compute,2980
L3-0322,记录,jìlù,N/V,3,,,,,,to record; record (written account); note-taker; record (in sports etc),1305
L3-0323,记者,jìzhě,N,3,,,,,,reporter; journalist,844
L3-0324,纪录,jìlù,N,3,,,,,,"variant of 记录 (but in Taiwan, not for the verb sense ""to record"")",3694
L3-0325,纪念,jìniàn,V/N,3,,,,,,to commemorate; to honor the memory of; memento; keepsake; souvenir,2842
L3-0326,技术,jìshù,N,3,,,,,,technology; technique; skill,758
L3-0327,继续,jìxù,V,3,,,,,,to continue; to proceed with; to go on with,285
L3-0328,加工,jiāgōng,,3,,,,,,to process; processing; working (of machinery),6286
L3-0329,加快,jiākuài,V,3,,,,,,to accelerate; to speed up,3846
L3-0330,加强,jiāqiáng,V,3,,,,,,to reinforce; to strengthen; to enhance,3019
L3-0331,家具,jiājù,N,3,,,,,,furniture,4188
L3-0332,家属,jiāshǔ,N,3,,,,,,family member; (family) dependent,5115
L3-0333,家乡,jiāxiāng,N,3,,,,,,hometown; native place,4334
L3-0334,价格,jiàgé,N,3,,,,,,price,1783
L3-0335,价钱,jiàqián,N,3,,,,,,price,5854
L3-0336,价值,jiàzhí,N,3,,,,,,"value; worth; fig. values (ethical, cultural etc)",1136
L3-0337,架,jià,M/N/V,3,,,,,,to support; frame; rack; framework,1375
L3-0338,坚持,jiānchí,V,3,,,,,,to persevere with; to persist in; to insist on,751
L3-0339,坚决,jiānjué,Adj,3,,,,,,firm; resolute; determined,5120
L3-0340,坚强,jiānqiáng,Adj,3,,,,,,staunch; strong,2557
L3-0341,简单,jiǎndān,Adj,3,,,,,,simple; not complicated,726
L3-0342,简直,jiǎnzhí,Adv,3,,,,,,simply; really,1797
L3-0343,建,jiàn,V,3,,,,,,to establish; to found; to set up; to build,1679
L3-0344,建成,jiànchéng,,3,,,,,,to establish; to build,7497
L3-0345,建立,jiànlì,V,3,,,,,,to establish; to set up; to found,1182
L3-0346,建设,jiànshè,V/N,3,,,,,,to build; to construct; to establish; to develop; to institute,4276
L3-0347,建议,jiànyì,V/N,3,,,,,,to propose; to suggest; to recommend; proposal; suggestion; recommendation,782
L3-0348,将近,jiāngjìn,Adv,3,,,,,,almost; nearly; close to,7225
L3-0349,将来,jiānglái,N,3,,,,,,in the future; future; the future,2601
L3-0350,交费,jiāofèi,V,3,,,,,,to pay a fee,24178
L3-0351,交警,jiāojǐng,N,3,,,,,,traffic police (abbr. for 察),12361
L3-0352,交流,jiāoliú,V/N,3,,,,,,to exchange; exchange; communication; interaction,1828
L3-0353,交往,jiāowǎng,V,3,,,,,,to associate (with); to have contact (with); to hang out (with); to date,3394
L3-0354,交易,jiāoyì,N,3,,,,,,to deal; to trade; to transact; transaction; deal,880
L3-0355,叫,jiào,Prep,3,,,,,,to shout; to call; to order; to ask,200
L3-0356,较,jiào,Adv,3,,,,,,to compare; to dispute; compared to; (before adj.) relatively,2836
L3-0357,教材,jiàocái,N,3,,,,,,teaching material,16199
L3-0358,教练,jiàoliàn,N,3,,,,,,instructor; sports coach; trainer,1838
L3-0359,结实,jiēshi,Adj,3,,,,,,rugged; sturdy; strong; durable,10419
L3-0360,接待,jiēdài,V,3,,,,,,to receive (a visitor); to admit (allow sb to enter),5407
L3-0361,接近,jiējìn,V,3,,,,,,to approach; to get close to,1720
L3-0362,节约,jiéyuē,V,3,,,,,,to economize; to conserve (resources); economy; frugal,7912
L3-0363,结合,jiéhé,V,3,,,,,,to combine; to link; to integrate; binding,2371
L3-0364,结婚,jiéhūn,,3,,,,,,to marry; to get married,982
L3-0365,结束,jiéshù,V,3,,,,,,termination; to finish; to end; to conclude,498
L3-0366,解决,jiějué,V,3,,,,,,"to solve; to resolve; to settle (a problem); to eliminate; to wipe out (an enemy, bandits etc)",458
L3-0367,解开,jiěkāi,,3,,,,,,to untie; to undo; to solve (a mystery),7102
L3-0368,金,jīn,N,3,,,,,,surname Jin; surname Kim (Korean); Jurchen Jin dynasty (1115-1234),828
L3-0369,金牌,jīnpái,N,3,,,,,,gold medal,5592
L3-0370,仅,jǐn,Adv,3,,,,,,barely; only; merely,1086
L3-0371,仅仅,jǐnjǐn,Adv,3,,,,,,barely; only; merely; only (this and nothing more),2128
L3-0372,尽量,jǐnliàng,Adv,3,,,,,,as much as possible; to the greatest extent,2279
L3-0373,紧,jǐn,Adj,3,,,,,,tight; strict; close at hand; near,1601
L3-0374,紧急,jǐnjí,Adj,3,,,,,,urgent; emergency,2072
L3-0375,紧张,jǐnzhāng,Adj,3,,,,,,nervous; keyed up; intense; tense,1073
L3-0376,进步,jìnbù,V/Adj,3,,,,,,progress; improvement; to improve; to progress,2425
L3-0377,进一步,jìnyībù,Adv,3,,,,,,"to go a step further; (develop, understand, improve etc) more; further",1996
L3-0378,进展,jìnzhǎn,V,3,,,,,,to make headway; to make progress,2151
L3-0379,近期,jìnqī,N,3,,,,,,near in time; in the near future; very soon; recent,6658
L3-0380,京剧,jīngjù,N,3,,,,,,Beijing opera,40061
L3-0381,经济,jīngjì,N/Adj,3,,,,,,economy; economic,1376
L3-0382,经历,jīnglì,V/N,3,,,,,,experience; to experience; to go through,1047
L3-0383,经验,jīngyàn,N,3,,,,,,experience; to experience,1269
L3-0384,经营,jīngyíng,V,3,,,,,,to engage in (business etc); to run; to operate,1867
L3-0385,精彩,jīngcǎi,Adj,3,,,,,,wonderful; marvelous; brilliant,1320
L3-0386,精神,jīngshén,N,3,,,,,,spirit; mind; consciousness; thought,640
L3-0387,精神,jīngshen,Adj/N,3,,,,,,vigor; vitality; drive; spiritual,640
L3-0388,景色,jǐngsè,N,3,,,,,,scenery; scene; landscape; view,8954
L3-0389,警察,jǐngchá,N,3,,,,,,police; police officer,1128
L3-0390,静,jìng,Adj/V,3,,,,,,still; calm; quiet; not moving,3112
L3-0391,久,jiǔ,Adj,3,,,,,,(long) time; (long) duration of time,1103
L3-0392,旧,jiù,Adj,3,,,,,,old; opposite: new 新; former; worn (with age),1787
L3-0393,救,jiù,V,3,,,,,,variant of 救,1217
L3-0394,就是,jiùshì,Conj,3,,,,,,exactly; precisely; only; simply; just; (used correlatively with 也) even; even if,113
L3-0395,就业,jiùyè,,3,,,,,,to get a job; employment,7863
L3-0396,举办,jǔbàn,V,3,,,,,,to conduct; to hold,2669
L3-0397,具体,jùtǐ,Adj,3,,,,,,concrete; definite; specific,1638
L3-0398,具有,jùyǒu,V,3,,,,,,to have; to possess,1749
L3-0399,剧场,jùchǎng,N,3,,,,,,theater,7765
L3-0400,据说,jùshuō,V,3,,,,,,it is said that; reportedly,3486
L3-0401,决定,juédìng,V/N,3,,,,,,to decide (to do something); to resolve; decision; certainly,366
L3-0402,决赛,juésài,V/N,3,,,,,,finals (of a competition),2326
L3-0403,决心,juéxīn,N/V,3,,,,,,determination; resolution; determined; firm and resolute,4092
L3-0404,绝对,juéduì,Adv,3,,,,,,absolute; unconditional,744
L3-0405,咖啡,kāfēi,N,3,,,,,,coffee (loanword),1698
L3-0406,开发,kāifā,V,3,,,,,,to exploit (a resource); to open up (for development); to develop,2981
L3-0407,开放,kāifàng,V,3,,,,,,to bloom; to open; to be open (to the public); to open up (to the outside),3036
L3-0408,开始,kāishǐ,V/N,3,,,,,,to begin; beginning; to start; initial,132
L3-0409,开业,kāiyè,,3,,,,,,to open a business; to open a practice; open (for business),7802
L3-0410,开展,kāizhǎn,V,3,,,,,,to launch; to develop; to unfold; (of an exhibition etc) to open,6041
L3-0411,看起来,kàn qǐlái,,3,,,,,,seemingly; apparently; looks as if; appear to be,3085
L3-0412,看上去,kàn shàngqù,,3,,,,,,it would appear; it seems (that),2674
L3-0413,考验,kǎoyàn,V,3,,,,,,to test; to put to the test; trial; ordeal,3850
L3-0414,科技,kējì,N,3,,,,,,science and technology,2094
L3-0415,可靠,kěkào,Adj,3,,,,,,reliable,4079
L3-0416,可乐,kělè,N,3,,,,,,amusing; entertaining; (loanword) cola,6636
L3-0417,克服,kèfú,V,3,,,,,,(try to) overcome (hardships etc); to conquer; to put up with; to endure,4119
L3-0418,客观,kèguān,Adj,3,,,,,,objective; impartial,5447
L3-0419,课程,kèchéng,N,3,,,,,,course; academic program,3080
L3-0420,空,kōng,Adj/Adv,3,,,,,,empty; air; sky; in vain,1345
L3-0421,空调,kōngtiáo,N,3,,,,,,air conditioning; air conditioner (including units that have a heating mode),4763
L3-0422,恐怕,kǒngpà,Adv,3,,,,,,fear; to dread; I'm afraid that...; perhaps,2245
L3-0423,空儿,kòngr,N,3,,,,,,spare time; free time,34728
L3-0424,裤子,kùzi,N,3,,,,,,"variant of 裤子, trousers; pants",3765
L3-0425,快速,kuàisù,Adj,3,,,,,,fast; high-speed; rapid,2309
L3-0426,困,kùn,Adj/V,3,,,,,,to trap; to surround; hard-pressed; stranded,1868
L3-0427,困难,kùnnan,N/Adj,3,,,,,,difficult; challenging; straitened circumstances; difficult situation,1141
L3-0428,浪费,làngfèi,V,3,,,,,,to waste; to squander,1924
L3-0429,老百姓,lǎobǎixìng,N,3,,,,,,"ordinary people; the ""person in the street""",7618
L3-0430,老板,lǎobǎn,N,3,,,,,,variant of 老板,1185
