hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko
L3-0553,前面,qiánmiàn,명사,3,앞 · 앞쪽,장소,前面有一家咖啡店。,Qiánmiàn yǒu yì jiā kāfēidiàn.,앞쪽에 커피숍이 하나 있다.
L3-0342,简直,jiǎnzhí,부사,3,그야말로 · 정말,평가,这简直太好了。,Zhè jiǎnzhí tài hǎo le.,이건 정말 너무 좋다.
L3-0738,退,tuì,동사,3,물러나다 · 반품하다,동작,这件衣服可以退吗？,Zhè jiàn yīfu kěyǐ tuì ma?,이 옷은 반품할 수 있나요?
L3-0556,强大,qiángdà,형용사,3,강하다 · 막강하다,평가,这是一个强大的国家。,Zhè shì yí ge qiángdà de guójiā.,이곳은 아주 강한 나라다.
L3-0900,证据,zhèngjù,명사,3,증거,사회,我们需要证据。,Wǒmen xūyào zhèngjù.,우리는 증거가 필요하다.
L3-0352,交流,jiāoliú,동사·명사,3,교류하다 · 나누다,관계,我们经常交流经验。,Wǒmen jīngcháng jiāoliú jīngyàn.,우리는 자주 경험을 나눈다.
L3-0809,幸运,xìngyùn,형용사,3,운이 좋다,감정,我很幸运。,Wǒ hěn xìngyùn.,나는 아주 운이 좋다.
L3-0926,制作,zhìzuò,동사,3,만들다 · 제작하다,일,这个节目是他制作的。,Zhège jiémù shì tā zhìzuò de.,이 프로그램은 그가 만든 것이다.
L3-0358,教练,jiàoliàn,명사,3,코치 · 감독,활동,教练很严格。,Jiàoliàn hěn yángé.,감독님은 아주 엄하다.
L3-0207,付,fù,동사,3,지불하다 · 내다,일,我来付钱。,Wǒ lái fù qián.,제가 계산할게요.
L3-0247,公开,gōngkāi,형용사·동사,3,공개적이다 · 공개하다,사회,这个消息还没公开。,Zhège xiāoxi hái méi gōngkāi.,이 소식은 아직 공개되지 않았다.
L3-0956,资金,zījīn,명사,3,자금,일,我们缺少资金。,Wǒmen quēshǎo zījīn.,우리는 자금이 부족하다.
L3-0870,员工,yuángōng,명사,3,직원,일,这家公司有一百名员工。,Zhè jiā gōngsī yǒu yìbǎi míng yuángōng.,이 회사에는 직원이 100명 있다.
L3-0576,全球,quánqiú,명사,3,전 세계,사회,这是一个全球问题。,Zhè shì yí ge quánqiú wèntí.,이것은 전 세계의 문제다.
L3-0627,升,shēng,동사,3,오르다 · 올리다,동작,太阳升起来了。,Tàiyáng shēng qǐlái le.,해가 떠올랐다.
L3-0384,经营,jīngyíng,동사,3,경영하다 · 운영하다,일,他经营一家小店。,Tā jīngyíng yì jiā xiǎo diàn.,그는 작은 가게를 운영한다.
L3-0426,困,kùn,형용사·동사,3,졸리다 · 가두다,몸,我有点儿困了。,Wǒ yǒudiǎnr kùn le.,나는 좀 졸리다.
L3-0102,初,chū,부사,3,처음 · 초,시간,明年初我要去中国。,Míngnián chū wǒ yào qù Zhōngguó.,내년 초에 나는 중국에 갈 것이다.
L3-0445,立刻,lìkè,부사,3,즉시 · 곧바로,시간,请立刻过来。,Qǐng lìkè guòlái.,즉시 와 주세요.
L3-0647,实验,shíyàn,동사·명사,3,실험하다 · 실험,학교,我们做了一个实验。,Wǒmen zuò le yí ge shíyàn.,우리는 실험을 하나 했다.
L3-0572,取消,qǔxiāo,동사,3,취소하다,일,会议取消了。,Huìyì qǔxiāo le.,회의가 취소되었다.
L3-0719,通常,tōngcháng,형용사,3,보통 · 대개,시간,我通常七点起床。,Wǒ tōngcháng qī diǎn qǐchuáng.,나는 보통 일곱 시에 일어난다.
L3-0169,对象,duìxiàng,명사,3,대상 · 사귀는 사람,관계,这本书的对象是学生。,Zhè běn shū de duìxiàng shì xuéshēng.,이 책의 대상은 학생이다.
L3-0428,浪费,làngfèi,동사,3,낭비하다,평가,别浪费时间。,Bié làngfèi shíjiān.,시간을 낭비하지 마.
L3-0289,合理,hélǐ,형용사,3,합리적이다,평가,这个价格很合理。,Zhège jiàgé hěn hélǐ.,이 가격은 아주 합리적이다.
L3-0598,任,rèn,동사,3,맡다 · 임명하다,일,他任经理三年了。,Tā rèn jīnglǐ sān nián le.,그는 3년째 매니저를 맡고 있다.
L3-0599,任,rèn,접속사,3,~하더라도 · ~든지,어법,任你怎么说 我都不去。,Rèn nǐ zěnme shuō wǒ dōu bú qù.,네가 뭐라고 하든 나는 안 간다.
L3-0791,香,xiāng,형용사,3,향기롭다 · 맛있다,음식,这个菜很香。,Zhège cài hěn xiāng.,이 요리는 아주 좋은 냄새가 난다.
L3-0763,文章,wénzhāng,명사,3,글 · 문장,사물,这篇文章写得很好。,Zhè piān wénzhāng xiě de hěn hǎo.,이 글은 아주 잘 썼다.
L3-0802,信任,xìnrèn,동사,3,신뢰하다 · 믿다,관계,我很信任他。,Wǒ hěn xìnrèn tā.,나는 그를 아주 신뢰한다.
L3-0183,反正,fǎnzhèng,부사,3,어차피,어법,反正我也要去。,Fǎnzhèng wǒ yě yào qù.,어차피 나도 갈 거야.
L3-0507,内心,nèixīn,명사,3,마음속,감정,他内心很紧张。,Tā nèixīn hěn jǐnzhāng.,그는 속으로 아주 긴장하고 있다.
L3-0172,发出,fāchū,동사,3,내다 · 보내다,동작,机器发出了声音。,Jīqì fāchū le shēngyīn.,기계가 소리를 냈다.
L3-0217,赶紧,gǎnjǐn,부사,3,서둘러 · 얼른,시간,我们赶紧走吧。,Wǒmen gǎnjǐn zǒu ba.,우리 서둘러 가자.
L3-0377,进一步,jìnyībù,부사,3,한 걸음 더 · 더 나아가,어법,我们要进一步了解。,Wǒmen yào jìnyībù liǎojiě.,우리는 좀 더 알아봐야 한다.
L3-0194,费,fèi,동사·명사,3,들다 · 비용,일,这件事很费时间。,Zhè jiàn shì hěn fèi shíjiān.,이 일은 시간이 많이 든다.
L3-0186,防,fáng,동사,3,막다 · 예방하다,동작,我们要防火。,Wǒmen yào fánghuǒ.,우리는 불을 예방해야 한다.
L3-0769,舞台,wǔtái,명사,3,무대,장소,他站在舞台上。,Tā zhàn zài wǔtái shàng.,그는 무대 위에 서 있다.
L3-0782,现金,xiànjīn,명사,3,현금,사물,我没带现金。,Wǒ méi dài xiànjīn.,나는 현금을 안 가져왔다.
L3-0709,调整,tiáozhěng,동사,3,조정하다,일,我们调整了计划。,Wǒmen tiáozhěng le jìhuà.,우리는 계획을 조정했다.
L3-0698,糖,táng,명사,3,설탕 · 사탕,음식,我的咖啡不要糖。,Wǒ de kāfēi búyào táng.,내 커피에는 설탕을 넣지 마세요.
L3-0832,阳光,yángguāng,명사,3,햇빛,자연,今天的阳光很好。,Jīntiān de yángguāng hěn hǎo.,오늘은 햇빛이 아주 좋다.
L3-0456,领,lǐng,동사,3,이끌다 · 받다,동작,他领我们进去了。,Tā lǐng wǒmen jìnqù le.,그가 우리를 안으로 데리고 들어갔다.
L3-0374,紧急,jǐnjí,형용사,3,긴급하다,평가,这是一件紧急的事。,Zhè shì yí jiàn jǐnjí de shì.,이것은 긴급한 일이다.
L3-0818,宣传,xuānchuán,동사·명사,3,홍보하다 · 홍보,일,他们在宣传新产品。,Tāmen zài xuānchuán xīn chǎnpǐn.,그들은 새 제품을 홍보하고 있다.
L3-0853,优势,yōushì,명사,3,강점 · 우세,평가,我们有价格优势。,Wǒmen yǒu jiàgé yōushì.,우리는 가격 면에서 강점이 있다.
L3-0298,互相,hùxiāng,부사,3,서로,관계,我们要互相帮助。,Wǒmen yào hùxiāng bāngzhù.,우리는 서로 도와야 한다.
L3-0414,科技,kējì,명사,3,과학기술,사회,科技发展得很快。,Kējì fāzhǎn de hěn kuài.,과학기술은 아주 빨리 발전한다.
L3-0142,导演,dǎoyǎn,명사·동사,3,감독 · 감독하다,일,这部电影的导演很有名。,Zhè bù diànyǐng de dǎoyǎn hěn yǒumíng.,이 영화의 감독은 아주 유명하다.
L3-0845,印象,yìnxiàng,명사,3,인상,감정,他给我的印象很好。,Tā gěi wǒ de yìnxiàng hěn hǎo.,그가 나에게 준 인상은 아주 좋다.
L3-0824,烟,yān,명사,3,담배 · 연기,사물,这里不能抽烟。,Zhèlǐ bù néng chōuyān.,여기에서는 담배를 피울 수 없다.
L3-0633,生意,shēngyi,명사,3,장사,일,他的生意很好。,Tā de shēngyi hěn hǎo.,그의 장사는 아주 잘된다.
L3-0215,赶,gǎn,동사,3,서두르다 · 쫓아가다,동작,我要赶火车。,Wǒ yào gǎn huǒchē.,나는 기차 시간에 대려고 서둘러야 한다.
L3-0121,存,cún,동사,3,저장하다 · 맡기다,동작,我把钱存在银行了。,Wǒ bǎ qián cún zài yínháng le.,나는 돈을 은행에 맡겼다.
L3-0538,评价,píngjià,동사·명사,3,평가하다 · 평가,평가,大家对他的评价很高。,Dàjiā duì tā de píngjià hěn gāo.,모두가 그를 높이 평가한다.
L3-0559,桥,qiáo,명사,3,다리,장소,这座桥很长。,Zhè zuò qiáo hěn cháng.,이 다리는 아주 길다.
L3-0486,迷,mí,동사,3,빠지다 · 열중하다,감정,他迷上了这个游戏。,Tā mí shàng le zhège yóuxì.,그는 이 게임에 빠졌다.
L3-0806,形象,xíngxiàng,명사·형용사,3,이미지 · 모습,평가,他的形象很好。,Tā de xíngxiàng hěn hǎo.,그의 이미지는 아주 좋다.
L3-0616,上去,shàngqù,동사,3,올라가다,동작,我们上去看看吧。,Wǒmen shàngqù kànkan ba.,우리 올라가 보자.
L3-0371,仅仅,jǐnjǐn,부사,3,단지 · 겨우,어법,这仅仅是开始。,Zhè jǐnjǐn shì kāishǐ.,이것은 단지 시작일 뿐이다.
L3-0613,商业,shāngyè,명사,3,상업,사회,这里是商业中心。,Zhèlǐ shì shāngyè zhōngxīn.,이곳은 상업 중심지다.
L3-0143,到达,dàodá,동사,3,도착하다,동작,我们明天到达北京。,Wǒmen míngtiān dàodá Běijīng.,우리는 내일 베이징에 도착한다.
L3-0938,主任,zhǔrèn,명사,3,주임,일,他是我们的主任。,Tā shì wǒmen de zhǔrèn.,그는 우리 주임이다.
L3-0316,基础,jīchǔ,명사,3,기초,학교,他的汉语基础很好。,Tā de Hànyǔ jīchǔ hěn hǎo.,그의 중국어 기초는 아주 좋다.
